,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD
1,134.5,Sea Weed,1,134.0,28,.520,0.7909999999999999,1.3214285714285714,.352*,15.892857142857142,1.3928571428571428,4.392857142857143,4.214285714285714,0.8571428571428571,0.8214285714285714,1.8928571428571428,2.25,0.21428571428571427
2,130.0,Little Whale,10,113.5,25,.489,0.8170000000000001,2.12,.398,16.32,0.92,4.96,3.36,0.88,0.48,1.96,2.12,0.12
3,129.5,螃蟹,4,125.0,27,.471*,0.752,1.5925925925925926,.384,16.40740740740741,1.5925925925925926,6.296296296296297,4.592592592592593,0.9629629629629629,0.48148148148148145,2.3333333333333335,3.0,0.4074074074074074
4,125.0,JS Shrimp,12,99.0,21,.477,0.722,1.380952380952381,.358,17.333333333333332,2.0476190476190474,5.857142857142857,3.857142857142857,0.8095238095238095,0.6666666666666666,2.6666666666666665,2.4761904761904763,0.3333333333333333
5,121.0,Sea Urchin,5,123.5,30,.530,0.725,0.9333333333333333,.444,14.633333333333333,1.4333333333333333,4.2,3.4,1.0666666666666667,0.9,1.8666666666666667,2.7333333333333334,0.06666666666666667
6,120.0,Sea Horse,3,129.0,32,.443,0.754,1.84375,.388,16.6875,1.21875,4.96875,3.375,0.9375,0.375,2.28125,1.9375,0.15625
7,118.0,透抽,2,129.5,31,.483*,0.7929999999999999,1.6451612903225807,.402,17.258064516129032,1.1612903225806452,4.225806451612903,3.225806451612903,0.8387096774193549,0.41935483870967744,1.7419354838709677,2.7419354838709675,0.16129032258064516
8,114.5,STaNo. 1水嫩嫩鮭魚生魚片,11,110.5,29,.471*,0.675,1.6896551724137931,.366,17.310344827586206,1.0344827586206897,5.310344827586207,2.6551724137931036,1.1724137931034482,0.4482758620689655,2.0,2.4482758620689653,0.20689655172413793
9,112.0,Sponge,7,120.0,31,.445,0.7879999999999999,1.6129032258064515,.318,16.032258064516128,1.2258064516129032,4.903225806451613,2.806451612903226,1.1612903225806452,0.7741935483870968,2.4516129032258065,2.3870967741935485,0.22580645161290322
10,110.0,Mermaid,8,117.5,30,.476,0.855,1.3,.302,15.233333333333333,0.9666666666666667,4.033333333333333,3.2,1.0,1.0333333333333334,1.5,2.1,0.03333333333333333
11,108.0,鯉魚王,9,114.0,31,.454,0.784,1.4193548387096775,.324,12.774193548387096,1.3548387096774193,4.387096774193548,3.129032258064516,1.1290322580645162,0.6451612903225806,1.8387096774193548,2.161290322580645,0.12903225806451613
12,107.0,Oysters,6,121.0,31,.442,0.8590000000000001,2.2903225806451615,.355,15.225806451612904,0.8387096774193549,4.096774193548387,3.3548387096774195,0.9354838709677419,0.5806451612903226,1.967741935483871,2.096774193548387,0.0967741935483871
13,102.5,Sea Cucumber,13,94.5,27,.455,0.7929999999999999,1.4074074074074074,.322,15.88888888888889,1.1851851851851851,4.333333333333333,4.0,0.8888888888888888,0.5925925925925926,2.4074074074074074,2.7777777777777777,0.25925925925925924
14,99.5,Shark,14,91.5,27,.464,0.847,1.1851851851851851,.352*,13.962962962962964,1.3333333333333333,3.888888888888889,3.7037037037037037,1.4814814814814814,0.4444444444444444,1.7037037037037037,2.962962962962963,0.037037037037037035
15,77.5,吻仔魚去頭去尾留中段,15,82.0,32,.483*,0.759,0.75,.273,12.96875,1.15625,3.25,2.375,0.5625,0.6875,1.15625,2.03125,0.03125
16,59.0,翻車魚肚,16,63.5,31,.420,0.772,1.7419354838709677,.360,12.548387096774194,0.5483870967741935,3.032258064516129,2.3870967741935485,0.7741935483870968,0.5161290322580645,2.032258064516129,2.4838709677419355,0.03225806451612903
